bird,trk,site,cell,pd.sum,species,test.dir1,dir1.area,test.dir2,dir2.area,pref.speed,sp80.1,sp80.2,sp80.3,sp80.4,sp80.5,sp80.6,sp80.7,sp80.8,sp80.9,sp80.10,sp80.11,sp80.12,tune50,tune55,tune60,tune65,tune70,tune75,tune80,tune85,tune90,tune95
202,3,2809,2,239.3999495,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3061,1,85.74045507,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3061,2,61.41981238,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3123,1,155.7679736,2,180,2.991505259,0,-29.40270008,64.02,0,0,0,1,0,0,0,0,0,0,1,0,5,5,4,4,4,4,2,1,1,1
202,3,3123,2,270.0016103,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3123,3,160.6951273,2,180,43.18157195,0,20.84872334,47.99,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,6,6,6,3,3,3
202,3,3199,1,11.5896352,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3199,2,359.3109492,2,315,22.95572212,135,33.69033685,32.03,0,0,0,0,0,0,0,0,1,1,1,0,4,4,4,3,3,3,3,2,1,1
202,3,3199,3,146.1558128,2,135,22.20178748,315,-12.05150564,7.98,0,0,0,0,0,1,0,0,0,1,0,0,7,7,7,4,4,3,2,2,1,1
202,3,3237,1,65.86960248,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3237,2,22.75003796,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3327,1,272.6237193,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3327,2,235.7586981,2,225,45.85224151,45,-21.3303837,47.99,0,0,0,0,0,0,0,1,1,1,1,1,6,5,5,5,5,5,5,4,4,3
202,3,3327,3,233.6938498,2,225,4.444450374,45,3.144487511,0.24,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,1,1,1,1,1
202,3,3327,4,296.3314326,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,3395,1,241.3001656,2,225,19.23030162,45,-22.39794201,47.99,0,0,0,0,0,0,0,1,0,1,0,0,6,6,5,4,4,2,2,2,1,1
202,3,3395,2,198.7458922,2,225,33.57187636,45,-4.414439704,32.03,0,0,0,0,0,0,0,0,1,0,1,1,5,4,4,4,3,3,3,3,3,2
202,3,3395,3,168.8233734,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,1,5701,1,0.236973137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,1,5701,2,358.077153,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,1,5701,3,359.1236562,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,1,5844,1,3.773888751,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,1,5844,2,358.2180613,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,10,5493,1,176.2261504,1,180,33.37741209,0,-9.572947124,79.86,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,2,2,2,1,1,1
1422,10,5493,2,2.673509816,1,0,57.92750124,180,13.30753377,24,0,0,0,0,0,1,1,1,1,1,1,1,9,9,8,8,8,7,7,5,3,2
1422,10,5493,3,358.9994083,1,0,43.66622408,180,6.564396255,16.03,0,0,0,0,0,1,1,1,0,0,0,1,8,8,8,8,8,7,4,4,3,2
1422,10,5787,1,16.20070048,1,0,-14.98769195,180,-6.021924143,0.99,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1
1422,10,5787,2,180.8243898,1,180,37.81462309,0,-31.23945375,79.86,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,3,2,2,2,2,1,1
1422,10,5787,3,2.90813616,1,0,60.40019912,180,24.11399598,32.03,0,0,0,0,0,1,1,1,1,1,1,1,8,8,8,7,7,7,7,5,2,2
