time,stim,spike
31.378,0,0.00467
31.379,0,0.01102
31.38,0,0.00562
31.381,0,-9e-5
31.382,0,0.00821
31.383,0,0.02423
31.384,0,0.00775
31.385,0,-0.00385
31.386,0,-0.0058
31.387,0,0.00903
31.388,0,0.01004
31.389,0,0.01144
31.39,0,0.01074
31.391,0,0.00235
31.392,0,5.8e-4
31.393,0,0.00342
31.394,0,0.0166
31.395,0,-1.2e-4
31.396,0,-4e-4
31.397,0,0.00272
31.398,0,3.4e-4
31.399,0,0.00522
31.4,0,0.00537
31.401,0,0.00479
31.402,0,0.00443
31.403,0,0.0018600000000000001
31.404,0,0.00177
31.405,0,0.00134
31.406,0,-0.00296
31.407,0,0.00467
31.408,0,0.00555
31.409,0,0.00339
31.41,0,9.2e-4
31.411,0,-0.00235
31.412,0,0.00146
31.413,0,0.00516
31.414,0,-0.00299
31.415,0,0.00787
31.416,0,0.00262
31.417,0,0.0051
31.418,0,0.00464
31.419,0,0.01068
31.42,0,0.00574
31.421,0,0.00241
31.422,0,-0.00189
31.423,0,0.01099
31.424,0,0.00671
31.425,0,0.00235
31.426,0,0.00418
31.427,0,0.00424
31.428,0,0.00272
31.429,0,0.00397
31.43,0,0.00439
31.431,0,-5.2e-4
31.432,0,0.00912
31.433,0,0.00458
31.434,0,0.01169
31.435,0,0.00684
31.436,0,-0.00369
31.437,0,0.00397
31.438,0,-3.7e-4
31.439,0,0.00113
31.44,0,-0.00235
31.441,0,-0.00308
31.442,0,0.00131
31.443,0,-4e-4
31.444,0,-3.7e-4
31.445,0,0.00427
31.446,0,-4.3e-4
31.447,0,0.01001
31.448,0,0.00558
31.449,0,0.00211
31.45,0,-0.00159
31.451,0,-0.01108
31.452,0,0.01941
31.453,0,0.00162
31.454,0,0.00568
31.455,0,-0.01633
31.456,0,0.01474
31.457,0,0.00491
31.458,0,0.00311
31.459,0,0.00824
31.46,0,0.00305
31.461,0,0.01413
31.462,0,-0.00784
31.463,0,-0.00714
31.464,0,0.0032
31.465,0,0.02139
31.466,0,0.00449
31.467,0,2.7e-4
31.468,0,3.7e-4
31.469,0,-0.0014
31.47,0,0.00266
31.471,0,0.00653
31.472,0,0.00278
31.473,0,-0.00183
31.474,0,0.00742
31.475,0,0.0018600000000000001
31.476,0,-7.6e-4
31.477,0,-1.2e-4
31.478,0,0.00568
31.479,0,0.00244
31.48,0,0.00443
